idx_season,team_tri,playerId,firstName.default,lastName.default,positionCode,gamesPlayed,gamesStarted,wins,losses,ties,overtimeLosses,goalsAgainstAverage,savePercentage,shotsAgainst,saves,goalsAgainst,shutouts,goals,assists,points,penaltyMinutes,timeOnIce,idx_season_type,plusMinus,powerPlayGoals,shorthandedGoals,gameWinningGoals,overtimeGoals,shots,shootingPctg,avgTimeOnIcePerGame,avgShiftsPerGame,faceoffWinPctg
2024,CAR,8482702.0,Logan,Stankoven,C,66.0,,,,,,,,,,,,10.0,23.0,33.0,6.0,,,3.0,2.0,0.0,5.0,0.0,163.0,0.06135,903.6818,18.7576,0.455026
2024,CAR,8482809.0,Jackson,Blake,R,70.0,,,,,,,,,,,,11.0,14.0,25.0,30.0,,,10.0,3.0,0.0,5.0,0.0,122.0,0.090164,804.3429,16.4143,0.482759
2024,CAR,8484929.0,Juha,Jaaska,L,18.0,,,,,,,,,,,,0.0,4.0,4.0,9.0,,,0.0,0.0,0.0,0.0,0.0,11.0,0.0,535.7222,12.2222,0.516129
2024,CBJ,8478007.0,Elvis,Merzlikins,G,46.0,46.0,22.0,19.0,0.0,5.0,3.040467,0.895988,1346.0,1206.0,140.0,1.0,0.0,0.0,0.0,6.0,165764.0,2.0,,,,,,,,,,
2024,CBJ,8480193.0,Daniil,Tarasov,G,17.0,17.0,7.0,8.0,0.0,2.0,3.514595,0.881657,507.0,447.0,60.0,1.0,0.0,1.0,1.0,0.0,61458.0,2.0,,,,,,,,,,
2024,CBJ,8482982.0,Jet,Greaves,G,6.0,6.0,2.0,2.0,0.0,2.0,2.832547,0.905028,179.0,162.0,17.0,0.0,0.0,0.0,0.0,0.0,21606.0,2.0,,,,,,,,,,
2024,CBJ,8471677.0,Jack,Johnson,D,38.0,,,,,,,,,,,,0.0,5.0,5.0,2.0,,,-8.0,0.0,0.0,0.0,0.0,22.0,0.0,763.3421,15.1579,0.0
2024,CBJ,8474037.0,James,van Riemsdyk,L,62.0,,,,,,,,,,,,14.0,16.0,30.0,16.0,,,-7.0,1.0,0.0,2.0,0.0,71.0,0.197183,742.6129,16.2258,0.3
2024,CBJ,8475790.0,Erik,Gudbranson,D,3.0,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,946.3333,19.3333,0.0
2024,CBJ,8476374.0,Sean,Kuraly,C,69.0,,,,,,,,,,,,5.0,10.0,15.0,22.0,,,-2.0,0.0,0.0,0.0,0.0,70.0,0.071429,701.942,14.5217,0.524
2024,CBJ,8476425.0,Joseph,LaBate,C,6.0,,,,,,,,,,,,0.0,1.0,1.0,10.0,,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,546.3333,13.6667,0.0
2024,CBJ,8476432.0,Boone,Jenner,C,13.0,,,,,,,,,,,,1.0,9.0,10.0,2.0,,,-1.0,0.0,0.0,0.0,0.0,32.0,0.03125,1056.9231,20.3846,0.527607
