id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,awayTeam.commonName.fr,winningGoalie.lastName.sv,condensedGameFr,homeTeam.commonName.fr,alternateBroadcasts,specialEvent.parentId,specialEvent.name.default,specialEvent.lightLogoUrl.default,venue.cs,venue.fi,venue.sk,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,specialEvent.lightLogoUrl.fr,specialEvent.name.fr,ticketsLinkFr,tricode_winteam
2024020050,20242025,2,2024-10-15,False,2024-10-15T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,2.0,12,Hurricanes,Carolina,de la Caroline,CAR,4.0,REG,3,REG,8481611.0,8482809.0,,,,,,,,,,,,,,,,,,,,,,,,,CAR
2024020048,20242025,2,2024-10-15,False,2024-10-15T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,23,Canucks,Vancouver,de Vancouver,VAN,1.0,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4.0,REG,3,REG,8476883.0,8478010.0,,,,,,,,,,,,,,,,,,,,,,,,,TBL
2024020051,20242025,2,2024-10-15,False,2024-10-15T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,13,Panthers,Florida,de la Floride,FLA,4.0,29,Blue Jackets,Columbus,de Columbus,CBJ,3.0,REG,3,REG,8481519.0,8480185.0,,,,,,,,,,,,,,,,,,,,,,,,,FLA
2024020052,20242025,2,2024-10-15,False,2024-10-15T23:30:00Z,-04:00,-05:00,US/Central,OFF,OK,30,Wild,Minnesota,du Minnesota,MIN,4.0,19,Blues,St. Louis,de St. Louis,STL,1.0,REG,3,REG,8479406.0,8480880.0,,,,,,,,,,,,,,,,,,,,,,,,,MIN
2024020053,20242025,2,2024-10-15,False,2024-10-16T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,55,Kraken,Seattle,de Seattle,SEA,7.0,18,Predators,Nashville,de Nashville,NSH,3.0,REG,3,REG,8478916.0,8475768.0,,,,,,,,,,,,,,,,,,,,,,,,,SEA
2024020054,20242025,2,2024-10-15,False,2024-10-16T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,28,Sharks,San Jose,de San Jose,SJS,2.0,25,Stars,Dallas,de Dallas,DAL,3.0,SO,3,SO,8479979.0,,,,,,,,,,,,,,,,,,,,,,,,,,DAL
2024020055,20242025,2,2024-10-15,False,2024-10-16T01:00:00Z,-04:00,-06:00,US/Mountain,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,1.0,20,Flames,Calgary,de Calgary,CGY,3.0,REG,3,REG,8481692.0,8483808.0,,,,,,,,,,,,,,,,,,,,,,,,,CGY
2024020056,20242025,2,2024-10-15,False,2024-10-16T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,3.0,22,Oilers,Edmonton,d'Edmonton,EDM,4.0,OT,3,OT,8479973.0,8477934.0,,,,,,,,,,,,,,,,,,,,,,,,,EDM
2024020057,20242025,2,2024-10-16,False,2024-10-16T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,5.0,5,Penguins,Pittsburgh,de Pittsburgh,PIT,6.0,OT,3,OT,8482446.0,8471675.0,,,,,,,,,,,,,,,,,,,,,,,,,PIT
2024020058,20242025,2,2024-10-16,False,2024-10-16T23:30:00Z,-04:00,-04:00,America/Toronto,OFF,OK,26,Kings,Los Angeles,de Los Angeles,LAK,2.0,10,Maple Leafs,Toronto,de Toronto,TOR,6.0,REG,3,REG,8476932.0,8482259.0,,,,,,,,,,,,,,,,,,,,,,,,,TOR
2024020059,20242025,2,2024-10-16,False,2024-10-17T01:30:00Z,-04:00,-06:00,America/Denver,OFF,OK,6,Bruins,Boston,de Boston,BOS,5.0,21,Avalanche,Colorado,du Colorado,COL,3.0,REG,3,REG,8476914.0,8476854.0,,,,,,,,,,,,,,,,,,,,,,,,,BOS
2024020060,20242025,2,2024-10-16,False,2024-10-17T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,59,Utah Hockey Club,Utah,de l'Utah,UTA,4.0,24,Ducks,Anaheim,d'Anaheim,ANA,5.0,OT,3,OT,8480843.0,8484153.0,,Club de hockey de l'Utah,,,,,,,,,,,,,,,,,,,,,,,ANA
2024020061,20242025,2,2024-10-17,False,2024-10-17T23:00:00Z,-04:00,-04:00,America/Montreal,OFF,OK,26,Kings,Los Angeles,de Los Angeles,LAK,4.0,8,Canadiens,Montréal,de Montréal,MTL,1.0,REG,3,REG,8479496.0,8482155.0,,,,,,,,,,,,,,,,,,,,,,,,,LAK
2024020062,20242025,2,2024-10-17,False,2024-10-17T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,3.0,9,Senators,Ottawa,d'Ottawa,OTT,1.0,REG,3,REG,8474593.0,8479414.0,,,Markström,,Sénateurs,,,,,,,,,,,,,,,,,,,,NJD
2024020067,20242025,2,2024-10-17,False,2024-10-17T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,4.0,29,Blue Jackets,Columbus,de Columbus,CBJ,6.0,REG,3,REG,8480193.0,8479944.0,,,,,,,,,,,,,,,,,,,,,,,,,CBJ
2024020065,20242025,2,2024-10-17,False,2024-10-17T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,23,Canucks,Vancouver,de Vancouver,VAN,3.0,13,Panthers,Florida,de la Floride,FLA,2.0,OT,3,OT,8480947.0,8476468.0,,,,,,,,,,,,,,,,,,,,,,,,,VAN
2024020064,20242025,2,2024-10-17,False,2024-10-17T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,54,Golden Knights,Vegas,de Vegas,VGK,3.0,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4.0,REG,3,REG,8476883.0,8476453.0,,,,,,,,,,,,,,,,,,,,,,,,,TBL
2024020066,20242025,2,2024-10-17,False,2024-10-17T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,25,Stars,Dallas,de Dallas,DAL,2.0,15,Capitals,Washington,de Washington,WSH,3.0,REG,3,REG,8479292.0,8479390.0,,,,,,,,,,,,,,,,,,,,,,,,,WSH
2024020063,20242025,2,2024-10-17,False,2024-10-17T23:30:00Z,-04:00,-04:00,America/Detroit,OFF,OK,3,Rangers,New York,de New York,NYR,5.0,17,Red Wings,Detroit,de Detroit,DET,2.0,REG,3,REG,8471734.0,8476389.0,,,,,,,,,,,,,,,,,,,,,,,,,NYR
